feature,importance
prior_fail_rate,0.028269854528492244
allocation_norm__2,0.006428517188635641
primary_purpose_norm__10,0.005363244849918058
hist_len,0.001549092565874388
masking_norm__0,0.0011911089897269412
allocation_norm__1,0.0011346994565158309
enroll_z_mean,0.0010197107926624093
primary_purpose_norm__7,0.0008960437390842068
primary_purpose_norm__5,0.0007181367497260726
intv_type_norm__7,0.0006834231908269484
intv_type_norm__1,0.0005011770066063904
masking_norm__5,0.00037317075816578615
masking_norm__1,0.0003558139787162462
primary_purpose_norm__2,0.00022563813284441902
primary_purpose_norm__6,0.00011064946899097539
intv_type_norm__16,9.546228697263626e-05
intv_type_norm__0,7.593591009187328e-05
intv_type_norm__6,5.2070338348686465e-05
primary_purpose_norm__4,3.0374364036722666e-05
primary_purpose_norm__8,1.952637688074077e-05
primary_purpose_norm__0,1.5187182018361333e-05
primary_purpose_norm__1,6.508792293580257e-06
primary_purpose_norm__3,0.0
intv_type_norm__15,0.0
primary_purpose_norm__9,-6.508792293602461e-06
intv_type_norm__10,-6.508792293624666e-06
intv_type_norm__3,-8.678389724803282e-06
intv_type_norm__18,-8.678389724803282e-06
intv_type_norm__11,-1.5187182018405743e-05
intv_type_norm__20,-1.5187182018405743e-05
allocation_norm__0,-1.9526376880762976e-05
intv_type_norm__14,-3.0374364036767078e-05
intv_type_norm__4,-3.2543961467967894e-05
intv_type_norm__8,-8.461429981667656e-05
intv_type_norm__5,-8.89534946790782e-05
intv_type_norm__21,-9.112309211030123e-05
intv_type_norm__12,-0.00014970222275259015
intv_type_norm__2,-0.00019960296367012021
phase_enc_last,-0.0003992059273402182
masking_norm__3,-0.0004295802913769631
gap_months_mean,-0.0008461429981666768
intv_type_norm__9,-0.0008960437390842513
intv_type_norm__19,-0.0011824306000022045
masking_norm__2,-0.0013581679919291378
masking_norm__4,-0.0015490925658744326
intv_type_norm__13,-0.002078474339086411
intv_type_norm__17,-0.003015740429363345
phase_enc_mean,-0.006278814965883095
