model,sponsor_type,n,auc,prauc
Baseline-3F+trends,industry,10620,0.63613617783183,0.25577138544152467
Baseline-3F+trends,network,649,0.5622559253346433,0.33512792120879253
Baseline-3F+trends,nih,1527,0.574165855787856,0.1428682364655554
Baseline-3F+trends,other,7335,0.6243310705993815,0.3396524620699224
Baseline-3F+trends,other_gov,116,0.6028214867064569,0.20985322517184657
Baseline-7F+trends,industry,10620,0.6414390392216479,0.25691847128463763
Baseline-7F+trends,network,649,0.513170821564534,0.3064090903959684
Baseline-7F+trends,nih,1527,0.6174235879341232,0.1627950121461379
Baseline-7F+trends,other,7335,0.6319677976865974,0.3467334577690202
Baseline-7F+trends,other_gov,116,0.6408030385241454,0.22463278990753682
Combined-9+4,industry,10620,0.6484808283503936,0.2690798336621848
Combined-9+4,network,649,0.5429202996438659,0.33090361910017924
Combined-9+4,nih,1527,0.6261106008384639,0.167664545795531
Combined-9+4,other,7335,0.6437587044913774,0.34430637562657274
Combined-9+4,other_gov,116,0.6758003255561584,0.286368899257914
GRU-9ch,industry,10620,0.6487788926049796,0.27030396174933086
GRU-9ch,network,649,0.5718347046543043,0.3432453921444952
GRU-9ch,nih,1527,0.621445395269318,0.16101369754848288
GRU-9ch,other,7335,0.6289192235213278,0.33524321688378766
GRU-9ch,other_gov,116,0.644872490504612,0.2815799191932595
Transformer-9ch,industry,10620,0.6412502618154793,0.2613643628474567
Transformer-9ch,network,649,0.5580621392607147,0.3539066506453533
Transformer-9ch,nih,1527,0.628384092831225,0.17264202899648248
Transformer-9ch,other,7335,0.6345024114294227,0.3461742752885346
Transformer-9ch,other_gov,116,0.6242539338035812,0.23240797986153594
